1. ID,2. 名前,3. スタイル,4. 大分類,5. 小分類,6. こってり度,7. 食べる頻度,8. 正規化した価格,9. 販売頻度,平均順位
0,えび,1,0,6,2.728978008,2.138421734,1.838419913,0.84,4.9166
1,穴子,1,0,3,0.926384365,1.990228013,1.992458678,0.88,5.2232
2,まぐろ,1,0,1,1.769559033,2.348506401,1.874724518,0.88,4.4718
3,いか,1,0,5,2.688400824,2.043239533,1.515151515,0.92,5.8978
4,うに,1,0,8,0.813043478,1.643478261,3.28728191,0.88,5.5252
5,いくら,1,0,7,1.264872521,1.979461756,2.695362718,0.88,5.0964
6,玉子,1,1,9,2.368070953,1.866223208,1.032467532,0.84,6.8554
7,とろ,1,0,1,0.551854656,2.057532173,4.485454545,0.8,3.111
8,鉄火巻,0,0,1,2.247133758,1.878980892,1.57983683,0.44,5.8882
9,かっぱ巻,0,1,11,3.73054755,1.456772334,1.02,0.4,8.0144
